date,county,fips,confirmed,deaths
4/10/2020,Fulton,0500000US36035,18,0
4/10/2020,Genesee,0500000US36037,65,0
4/10/2020,Greene,0500000US36039,34,0
4/10/2020,Hamilton,0500000US36041,3,0
4/10/2020,Herkimer,0500000US36043,36,1
4/10/2020,Jefferson,0500000US36045,43,0
4/10/2020,Lewis,0500000US36049,6,0
4/10/2020,Livingston,0500000US36051,29,1
4/10/2020,Madison,0500000US36053,99,1
4/10/2020,Monroe,0500000US36055,742,35
4/10/2020,Montgomery,0500000US36057,29,1
4/10/2020,Nassau,0500000US36059,21512,890
4/10/2020,New York City,0500000US,92384,5663
4/10/2020,Niagara,0500000US36063,156,1
4/10/2020,Oneida,0500000US36065,172,2
4/10/2020,Onondaga,0500000US36067,369,11
4/10/2020,Ontario,0500000US36069,51,0
4/10/2020,Orange,0500000US36071,4532,91
4/10/2020,Orleans,0500000US36073,24,0
4/10/2020,Oswego,0500000US36075,36,0
4/10/2020,Otsego,0500000US36077,41,2
4/10/2020,Putnam,0500000US36079,487,18
4/10/2020,Rensselaer,0500000US36083,91,4
4/10/2020,Rockland,0500000US36087,7122,135
4/10/2020,Saratoga,0500000US36091,182,1
4/10/2020,Schenectady,0500000US36093,191,9
4/10/2020,Schoharie,0500000US36095,12,0
4/10/2020,Schuyler,0500000US36097,5,0
4/10/2020,Seneca,0500000US36099,15,0
4/10/2020,St. Lawrence,0500000US36089,78,1
4/10/2020,Steuben,0500000US36101,117,3
4/10/2020,Suffolk,0500000US36103,18692,425
4/10/2020,Sullivan,0500000US36105,318,7
4/10/2020,Tioga,0500000US36107,18,0
4/10/2020,Tompkins,0500000US36109,105,0
4/10/2020,Ulster,0500000US36111,530,2
4/10/2020,Warren,0500000US36113,43,1
4/10/2020,Washington,0500000US36115,26,0
4/10/2020,Wayne,0500000US36117,41,0
4/10/2020,Westchester,0500000US36119,18077,428
4/10/2020,Wyoming,0500000US36121,30,0
4/10/2020,Yates,0500000US36123,2,0
4/11/2020,Albany,0500000US36001,446,16
4/11/2020,Allegany,0500000US36003,26,0
4/11/2020,Broome,0500000US36007,117,6
4/11/2020,Cattaraugus,0500000US36009,19,0
4/11/2020,Cayuga,0500000US36011,28,1
4/11/2020,Chautauqua,0500000US36013,21,1
4/11/2020,Chemung,0500000US36015,60,2
4/11/2020,Chenango,0500000US36017,61,0
4/11/2020,Clinton,0500000US36019,43,0
4/11/2020,Columbia,0500000US36021,77,6
4/11/2020,Cortland,0500000US36023,17,0
4/11/2020,Delaware,0500000US36025,39,0
4/11/2020,Dutchess,0500000US36027,1744,27
